,Currently Insured,Number of Vehicles,Number of Drivers,Marital Status,Estimated Competition Average,Bids to get 400 Sales
30,unknown,1,1,S,11.839323467230447,8.119266827457889
33,unknown,1,2,M,11.975560081466394,8.085248454578455
24,unknown,1,1,M,12.086330935251802,7.759415672770831
28,unknown,2,1,M,12.350230414746544,6.980840216380582
18,N,1,1,S,25.56603773584905,6.865662979170804
6,Y,1,1,S,16.31504922644163,6.340537060484276
12,N,1,1,M,28.03738317757009,6.30769646167113
27,unknown,1,2,S,12.059701492537313,5.9427185480371065
34,unknown,2,1,S,12.072263549415515,5.532365687093854
29,unknown,3,2,M,16.318114874815905,5.495159051056887
21,N,1,2,M,15.714285714285715,5.237196350100393
20,N,3,1,M,57.60869565217393,5.053284222645735
31,unknown,2,2,S,12.216330858960767,5.049375361576153
15,N,1,2,S,15.6353591160221,5.012540062868389
19,N,2,2,S,29.259259259259252,4.852946140973382
13,N,2,2,M,26.547085201793728,4.830957377223258
26,unknown,3,1,S,16.59643435980551,4.628739367158578
32,unknown,3,1,M,15.944444444444445,4.27743859758558
17,N,3,2,M,53.00813008130084,4.271364269151558
9,Y,1,2,M,16.38888888888889,3.5099821304230128
3,Y,1,2,S,16.068376068376068,3.4730062613924098
25,unknown,2,2,M,11.953125,3.286863670939632
0,Y,1,1,M,27.959183673469386,2.534500773046996
1,Y,2,2,M,57.37556561085972,2.1854710430397164
14,N,3,1,S,53.70892018779341,2.136495408194557
16,N,2,1,M,65.75000000000001,2.0342702490973865
11,Y,3,2,S,59.34065934065934,1.869694962623068
4,Y,2,1,M,54.35406698564597,1.490959386642136
22,N,2,1,S,56.08247422680415,1.3678739189342994
10,Y,2,1,S,61.502890173410385,0.5331248514372657
23,N,3,2,S,52.90909090909091,0.4759014560050126
2,Y,3,1,S,52.8712871287129,0.19396111482906286
8,Y,3,1,M,58.50746268656717,0.0100246727274263
7,Y,2,2,S,59.317073170731746,0.010016878203994026
5,Y,3,2,M,64.18604651162791,0.010005681468428094
